Clone,ImmBurden_VH,ImmBurden_VL
Fab01,31,34
Fab02,31,34
Fab03,31,34
Fab04,31,34
Fab05,31,34
Fab06,30,34
Fab07,39,34
Fab08,31,34
Fab09,31,34
Fab10,39,34
Fab100,31,34
Fab101,31,34
Fab102,39,34
Fab103,39,34
Fab104,39,34
Fab105,31,34
Fab106,30,34
Fab107,31,34
Fab108,31,34
Fab109,31,34
Fab11,31,34
Fab110,31,34
Fab111,31,34
Fab112,31,34
Fab113,31,34
Fab114,31,34
Fab115,31,34
Fab116,31,34
Fab117,31,34
Fab118,31,34
Fab119,31,34
Fab12,31,34
Fab120,31,34
Fab121,31,34
Fab122,31,34
Fab123,31,34
Fab124,31,34
Fab125,39,34
Fab126,31,34
Fab127,31,34
Fab128,31,34
Fab129,39,34
Fab13,39,34
Fab130,39,34
Fab131,31,34
Fab132,31,34
Fab14,39,34
Fab15,31,34
Fab16,31,34
Fab17,30,34
Fab18,31,34
Fab19,31,34
Fab20,31,34
Fab21,31,34
Fab22,39,34
Fab23,39,34
Fab24,39,34
Fab25,31,34
Fab26,31,34
Fab27,31,34
Fab28,31,34
Fab29,31,34
Fab30,39,34
Fab31,31,34
Fab32,31,34
Fab33,31,34
Fab34,31,34
Fab35,31,34
Fab36,31,34
Fab37,31,34
Fab38,31,34
Fab39,31,34
Fab40,31,34
Fab41,30,34
Fab42,31,34
Fab43,31,34
Fab44,31,34
Fab45,30,34
Fab46,31,34
Fab47,31,34
Fab48,31,34
Fab49,31,34
Fab50,30,34
Fab51,31,34
Fab52,31,34
Fab53,39,34
Fab54,39,34
Fab55,31,34
Fab56,31,34
Fab57,31,34
Fab58,30,34
Fab59,31,34
Fab60,39,34
Fab61,31,34
Fab62,31,34
Fab63,31,34
Fab64,31,34
Fab65,31,34
Fab66,31,34
Fab67,30,34
Fab68,31,34
Fab69,31,34
Fab70,31,34
Fab71,31,34
Fab72,31,34
Fab73,31,34
Fab74,31,34
Fab75,31,34
Fab76,31,34
Fab77,31,34
Fab78,31,34
Fab79,31,34
Fab80,31,34
Fab81,31,34
Fab82,31,34
Fab83,39,34
Fab84,31,34
Fab85,31,34
Fab86,31,34
Fab87,31,34
Fab88,31,34
Fab89,39,34
Fab90,31,34
Fab91,31,34
Fab92,31,34
Fab93,31,34
Fab94,30,34
Fab95,39,34
Fab96,31,34
Fab97,30,34
Fab98,30,34
Fab99,31,34
