Clone,K_total,K_cdr,K_fr,K_accessible,Eq_best,P_DAR_1_2,P_DAR_ge4,E_DAR
Fab01,8,1,7,7,4,0.638,0.051,1.59
Fab02,8,1,7,7,4,0.638,0.051,1.59
Fab03,8,1,7,7,4,0.638,0.051,1.59
Fab04,8,1,7,7,4,0.638,0.051,1.59
Fab05,8,1,7,7,4,0.638,0.051,1.59
Fab06,8,1,7,7,4,0.638,0.051,1.59
Fab07,8,1,7,7,4,0.638,0.051,1.59
Fab08,8,1,7,7,4,0.638,0.051,1.59
Fab09,8,1,7,7,4,0.638,0.051,1.59
Fab10,8,1,7,7,4,0.638,0.051,1.59
Fab100,8,1,7,7,4,0.638,0.051,1.59
Fab101,8,1,7,7,4,0.638,0.051,1.59
Fab102,8,1,7,7,4,0.638,0.051,1.59
Fab103,8,1,7,7,4,0.638,0.051,1.59
Fab104,8,1,7,7,4,0.638,0.051,1.59
Fab105,8,1,7,7,4,0.638,0.051,1.59
Fab106,8,1,7,7,4,0.638,0.051,1.59
Fab107,8,1,7,7,4,0.638,0.051,1.59
Fab108,8,1,7,7,4,0.638,0.051,1.59
Fab109,8,1,7,7,4,0.638,0.051,1.59
Fab11,8,1,7,7,4,0.638,0.051,1.59
Fab110,8,1,7,7,4,0.638,0.051,1.59
Fab111,8,1,7,7,4,0.638,0.051,1.59
Fab112,8,1,7,7,4,0.638,0.051,1.59
Fab113,8,1,7,7,4,0.638,0.051,1.59
Fab114,9,2,7,8,4,0.628,0.058,1.61
Fab115,8,1,7,7,4,0.638,0.051,1.59
Fab116,8,1,7,7,4,0.638,0.051,1.59
Fab117,8,1,7,7,4,0.638,0.051,1.59
Fab118,7,0,7,7,4,0.638,0.051,1.59
Fab119,8,1,7,7,4,0.638,0.051,1.59
Fab12,8,1,7,7,4,0.638,0.051,1.59
Fab120,8,1,7,7,4,0.638,0.051,1.59
Fab121,8,1,7,7,4,0.638,0.051,1.59
Fab122,8,1,7,7,4,0.638,0.051,1.59
Fab123,8,1,7,7,4,0.638,0.051,1.59
Fab124,8,1,7,7,4,0.638,0.051,1.59
Fab125,8,1,7,7,4,0.638,0.051,1.59
Fab126,8,1,7,7,4,0.638,0.051,1.59
Fab127,8,1,7,7,4,0.638,0.051,1.59
Fab128,8,1,7,7,4,0.638,0.051,1.59
Fab129,8,1,7,7,4,0.638,0.051,1.59
Fab13,9,2,7,8,4,0.628,0.058,1.61
Fab130,8,1,7,7,4,0.638,0.051,1.59
Fab131,8,1,7,7,4,0.638,0.051,1.59
