Clone,pI_VH,pI_VL,Hyd_VH,Hyd_VL,NG_VH,NG_VL,DG_VH,DG_VL,Met_VH,Met_VL,Trp_VH,Trp_VL,Lys_total
Fab01,4.352,7.944,39.5,33.3,1,0,1,0,2,1,4,2,8
Fab02,4.261,6.31,41.9,33.3,0,0,1,0,2,2,4,2,8
Fab03,4.352,6.31,40.3,34.3,1,0,1,0,2,2,4,2,8
Fab04,4.352,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab05,4.352,6.31,41.1,34.3,0,0,1,0,2,2,4,2,8
Fab06,4.352,7.935,41.1,33.3,0,0,1,0,2,1,4,1,8
Fab07,4.13,6.31,41.9,32.4,0,0,1,0,2,1,4,2,8
Fab08,4.261,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab09,4.352,6.31,40.3,34.3,0,0,1,0,1,2,4,2,8
Fab10,4.13,7.944,41.9,33.7,0,0,1,0,2,2,4,2,8
Fab100,4.261,7.944,40.3,34.3,0,0,1,0,2,2,4,2,8
Fab101,4.385,7.952,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab102,4.16,7.952,41.1,33.7,0,0,1,0,2,2,4,2,8
Fab103,4.13,6.31,41.9,32.4,0,0,1,0,2,1,4,1,8
Fab104,4.16,6.31,41.9,32.4,0,0,1,0,2,1,6,1,8
Fab105,4.352,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab106,4.385,7.935,41.9,33.3,0,0,1,0,2,1,4,1,8
Fab107,4.258,7.881,41.1,34.3,0,0,1,0,2,2,5,3,8
Fab108,4.291,7.944,40.3,35.2,0,0,1,0,2,1,5,2,8
Fab109,4.261,7.952,40.3,33.3,0,0,1,0,1,1,4,2,8
Fab11,4.352,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab110,4.382,6.31,40.3,34.3,1,0,1,0,1,2,3,2,8
Fab111,4.352,6.336,40.3,34.3,0,0,1,0,2,1,3,2,8
Fab112,4.261,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab113,4.291,7.952,41.1,34.3,0,0,1,0,2,2,6,2,8
Fab114,4.352,6.31,40.3,34.3,0,0,1,0,2,2,4,2,9
Fab115,4.352,7.944,40.3,33.3,0,0,1,0,3,1,7,2,8
Fab116,4.261,7.875,40.3,36.2,0,0,1,0,2,2,6,2,8
Fab117,4.385,7.944,39.5,33.3,0,0,1,0,2,1,4,2,8
Fab118,4.382,7.944,40.3,33.3,0,0,1,0,2,1,5,2,7
Fab119,4.418,7.875,40.3,34.3,0,0,0,0,2,1,5,2,8
Fab12,4.261,7.944,41.1,34.3,0,0,1,0,2,2,4,2,8
Fab120,4.352,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab121,4.261,6.31,41.9,34.3,0,0,1,0,2,2,4,2,8
Fab122,4.385,6.311,40.3,33.3,0,0,1,0,1,2,5,2,8
Fab123,4.349,6.31,41.9,34.3,0,0,1,0,2,2,3,2,8
Fab124,4.385,7.944,40.3,34.3,1,0,0,0,2,1,4,2,8
Fab125,4.16,7.935,42.7,33.7,0,0,1,0,2,1,4,1,8
Fab126,4.385,7.952,38.7,32.4,1,0,1,0,1,1,6,3,8
Fab127,4.385,6.336,39.5,34.3,1,0,1,0,2,2,3,1,8
Fab128,4.385,7.952,39.5,35.2,1,0,1,0,2,1,5,3,8
Fab129,4.13,7.875,41.9,34.6,0,0,1,0,2,2,4,2,8
Fab13,4.19,7.875,41.9,33.7,0,0,0,0,2,2,4,2,9
Fab130,4.19,7.875,41.1,33.7,0,0,1,0,2,2,3,2,8
Fab131,4.385,6.303,41.1,36.2,0,0,0,0,2,2,3,2,8
Fab132,4.352,7.944,40.3,33.3,0,0,1,0,2,1,6,2,8
Fab133,4.451,6.31,41.1,33.3,0,0,0,0,3,1,5,2,8
Fab134,4.385,6.336,40.3,34.3,1,0,1,0,2,2,4,2,8
Fab135,4.352,6.311,41.9,33.3,0,0,0,0,2,1,3,2,8
Fab136,4.13,6.31,41.1,32.4,0,0,1,0,2,1,6,2,8
Fab137,4.355,6.31,41.1,33.3,0,0,1,1,2,1,4,2,9
Fab138,4.352,7.875,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab139,4.352,7.935,41.9,33.3,0,0,1,0,2,1,5,1,8
Fab14,4.16,7.944,42.7,34.6,0,0,1,0,2,2,5,1,8
Fab140,4.352,7.944,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab141,4.261,7.944,40.3,33.3,0,0,1,0,2,1,6,2,8
Fab142,4.291,7.944,40.3,32.4,0,0,1,0,2,1,3,2,8
Fab143,4.19,7.944,41.9,33.7,0,0,1,0,2,2,5,2,8
Fab144,4.352,6.337,41.1,34.3,0,0,1,0,2,1,3,2,8
Fab145,4.16,7.944,41.9,33.7,0,0,1,0,2,2,5,2,8
Fab146,4.261,7.944,41.1,33.3,0,0,1,0,2,1,5,2,8
Fab147,4.352,6.336,41.1,33.3,0,0,2,0,2,1,5,2,8
Fab148,4.385,6.337,41.1,34.3,0,0,1,0,2,1,4,3,8
Fab149,4.291,7.875,40.3,34.3,0,0,1,0,2,2,4,2,8
Fab15,4.258,7.952,40.3,33.3,0,0,1,0,3,1,5,3,7
Fab150,4.13,7.952,41.9,33.7,0,0,1,0,2,2,4,2,8
Fab151,4.385,6.337,40.3,34.3,0,0,0,0,2,2,4,2,8
Fab152,4.451,6.336,41.1,34.3,0,0,0,0,2,2,4,2,8
Fab153,4.385,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab154,4.385,6.31,40.3,33.3,1,0,1,0,2,2,5,2,8
