Clone,pI_VH,pI_VL,Hyd_VH,Hyd_VL,NG_VH,NG_VL,DG_VH,DG_VL,Met_VH,Met_VL,Trp_VH,Trp_VL,Lys_total,K_total,K_cdr,K_fr,K_accessible,Eq_best,P_DAR_1_2,P_DAR_ge4,E_DAR
Fab01,4.352,7.944,39.5,33.3,1,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab02,4.261,6.31,41.9,33.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab03,4.352,6.31,40.3,34.3,1,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab04,4.352,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab05,4.352,6.31,41.1,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab06,4.352,7.935,41.1,33.3,0,0,1,0,2,1,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab07,4.13,6.31,41.9,32.4,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab08,4.261,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab09,4.352,6.31,40.3,34.3,0,0,1,0,1,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab10,4.13,7.944,41.9,33.7,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab100,4.261,7.944,40.3,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab101,4.385,7.952,40.3,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab102,4.16,7.952,41.1,33.7,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab103,4.13,6.31,41.9,32.4,0,0,1,0,2,1,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab104,4.16,6.31,41.9,32.4,0,0,1,0,2,1,6,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab105,4.352,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab106,4.385,7.935,41.9,33.3,0,0,1,0,2,1,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab107,4.258,7.881,41.1,34.3,0,0,1,0,2,2,5,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab108,4.291,7.944,40.3,35.2,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab109,4.261,7.952,40.3,33.3,0,0,1,0,1,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab11,4.352,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab110,4.382,6.31,40.3,34.3,1,0,1,0,1,2,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab111,4.352,6.336,40.3,34.3,0,0,1,0,2,1,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab112,4.261,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab113,4.291,7.952,41.1,34.3,0,0,1,0,2,2,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab114,4.352,6.31,40.3,34.3,0,0,1,0,2,2,4,2,9,9,2,7,8,4,0.628,0.058,1.61
Fab115,4.352,7.944,40.3,33.3,0,0,1,0,3,1,7,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab116,4.261,7.875,40.3,36.2,0,0,1,0,2,2,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab117,4.385,7.944,39.5,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab118,4.382,7.944,40.3,33.3,0,0,1,0,2,1,5,2,7,7,0,7,7,4,0.638,0.051,1.59
Fab119,4.418,7.875,40.3,34.3,0,0,0,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab12,4.261,7.944,41.1,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab120,4.352,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab121,4.261,6.31,41.9,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab122,4.385,6.311,40.3,33.3,0,0,1,0,1,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab123,4.349,6.31,41.9,34.3,0,0,1,0,2,2,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab124,4.385,7.944,40.3,34.3,1,0,0,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab125,4.16,7.935,42.7,33.7,0,0,1,0,2,1,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab126,4.385,7.952,38.7,32.4,1,0,1,0,1,1,6,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab127,4.385,6.336,39.5,34.3,1,0,1,0,2,2,3,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab128,4.385,7.952,39.5,35.2,1,0,1,0,2,1,5,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab129,4.13,7.875,41.9,34.6,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab13,4.19,7.875,41.9,33.7,0,0,0,0,2,2,4,2,9,9,2,7,8,4,0.628,0.058,1.61
Fab130,4.19,7.875,41.1,33.7,0,0,1,0,2,2,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab131,4.385,6.303,41.1,36.2,0,0,0,0,2,2,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab132,4.352,7.944,40.3,33.3,0,0,1,0,2,1,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab133,4.451,6.31,41.1,33.3,0,0,0,0,3,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab134,4.385,6.336,40.3,34.3,1,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab135,4.352,6.311,41.9,33.3,0,0,0,0,2,1,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab136,4.13,6.31,41.1,32.4,0,0,1,0,2,1,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab137,4.355,6.31,41.1,33.3,0,0,1,1,2,1,4,2,9,9,2,7,8,4,0.628,0.058,1.61
Fab138,4.352,7.875,40.3,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab139,4.352,7.935,41.9,33.3,0,0,1,0,2,1,5,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab14,4.16,7.944,42.7,34.6,0,0,1,0,2,2,5,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab140,4.352,7.944,41.1,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab141,4.261,7.944,40.3,33.3,0,0,1,0,2,1,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab142,4.291,7.944,40.3,32.4,0,0,1,0,2,1,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab143,4.19,7.944,41.9,33.7,0,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab144,4.352,6.337,41.1,34.3,0,0,1,0,2,1,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab145,4.16,7.944,41.9,33.7,0,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab146,4.261,7.944,41.1,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab147,4.352,6.336,41.1,33.3,0,0,2,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab148,4.385,6.337,41.1,34.3,0,0,1,0,2,1,4,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab149,4.291,7.875,40.3,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab15,4.258,7.952,40.3,33.3,0,0,1,0,3,1,5,3,7,7,0,7,7,4,0.638,0.051,1.59
Fab150,4.13,7.952,41.9,33.7,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab151,4.385,6.337,40.3,34.3,0,0,0,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab152,4.451,6.336,41.1,34.3,0,0,0,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab153,4.385,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab154,4.385,6.31,40.3,33.3,1,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab155,4.385,7.944,40.3,35.2,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab156,4.352,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab157,4.261,7.944,41.1,34.3,0,0,1,0,2,2,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab158,4.418,7.944,40.3,33.3,0,0,0,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab159,4.352,7.944,41.1,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab16,4.322,7.952,40.3,33.3,0,0,1,1,2,2,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab160,4.261,6.311,41.9,33.3,0,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab161,4.418,6.336,40.3,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab162,4.261,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab163,4.16,6.31,41.9,32.4,0,0,1,1,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab164,4.13,7.952,41.9,33.7,0,0,1,0,3,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab165,4.291,7.881,41.9,35.2,0,0,1,0,2,2,3,2,9,9,2,7,8,4,0.628,0.058,1.61
Fab166,4.291,7.944,39.5,32.4,0,0,0,1,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab167,4.418,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab168,4.382,6.309,42.7,33.3,0,0,1,0,1,1,4,1,7,7,0,7,7,4,0.638,0.051,1.59
Fab169,4.385,7.935,40.3,32.4,0,0,1,0,3,1,5,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab17,4.352,7.935,41.1,33.3,0,0,1,0,2,1,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab170,4.385,7.944,39.5,32.4,1,0,1,1,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab171,4.261,6.31,40.3,33.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab172,4.385,7.944,41.1,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab173,4.291,6.31,41.1,33.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab174,4.16,6.31,42.7,33.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab175,4.352,6.303,41.1,34.3,1,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab176,4.385,6.31,40.3,34.3,0,0,1,0,1,2,5,2,7,7,0,7,7,4,0.638,0.051,1.59
Fab177,4.16,6.31,41.1,32.4,0,0,0,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab178,4.261,7.944,41.1,34.3,0,0,1,0,2,2,6,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab179,4.16,6.31,41.9,32.4,0,0,1,1,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab18,4.385,7.952,39.5,33.3,1,0,0,0,2,1,4,3,9,9,2,7,8,4,0.628,0.058,1.61
Fab180,4.291,7.944,41.1,35.2,0,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab181,4.385,6.31,41.1,32.4,0,0,0,1,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab182,4.258,6.31,42.7,33.3,0,0,1,1,2,2,5,2,7,7,0,7,7,4,0.638,0.051,1.59
Fab183,4.385,7.952,40.3,34.3,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab184,4.418,6.335,40.3,34.3,0,0,1,0,1,1,5,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab185,4.261,6.31,41.9,33.3,0,0,1,0,2,2,5,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab186,4.385,7.952,40.3,33.3,0,0,1,0,2,1,5,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab187,4.352,7.944,41.9,32.4,0,0,1,0,3,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab188,4.352,6.31,40.3,33.3,0,0,1,0,1,2,3,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab189,4.352,6.309,41.9,35.2,0,0,1,0,2,2,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab19,4.352,6.337,40.3,34.3,0,0,1,0,1,2,5,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab190,4.16,7.952,42.7,33.7,0,0,1,0,2,2,4,1,8,8,1,7,7,4,0.638,0.051,1.59
Fab191,4.352,7.944,40.3,32.4,0,0,1,0,2,1,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab192,4.385,6.31,40.3,34.3,0,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab193,4.352,6.31,40.3,34.3,0,0,1,0,1,2,6,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab194,4.13,7.944,42.7,34.6,0,0,1,0,2,2,5,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab195,4.291,7.952,41.1,34.3,0,0,1,0,2,2,5,3,8,8,1,7,7,4,0.638,0.051,1.59
Fab196,4.322,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab197,4.352,6.311,41.1,33.3,0,0,1,1,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab198,4.128,7.944,41.9,33.7,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab199,4.355,6.336,41.1,34.3,0,0,1,0,1,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
Fab20,4.261,7.944,41.1,34.3,0,0,1,0,2,2,4,2,8,8,1,7,7,4,0.638,0.051,1.59
