Clone,pI_VH,pI_VL,Hyd_VH,Hyd_VL,NG_VH,NG_VL,DG_VH,DG_VL,Met_VH,Met_VL,Trp_VH,Trp_VL,Lys_total
Fab01,4.352,7.944,39.5,33.3,1,0,1,0,2,1,4,2,8
Fab02,4.261,6.31,41.9,33.3,0,0,1,0,2,2,4,2,8
Fab03,4.352,6.31,40.3,34.3,1,0,1,0,2,2,4,2,8
Fab04,4.352,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab05,4.352,6.31,41.1,34.3,0,0,1,0,2,2,4,2,8
Fab06,4.352,7.935,41.1,33.3,0,0,1,0,2,1,4,1,8
Fab07,4.13,6.31,41.9,32.4,0,0,1,0,2,1,4,2,8
Fab08,4.261,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab09,4.352,6.31,40.3,34.3,0,0,1,0,1,2,4,2,8
Fab10,4.13,7.944,41.9,33.7,0,0,1,0,2,2,4,2,8
Fab11,4.352,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab12,4.261,7.944,41.1,34.3,0,0,1,0,2,2,4,2,8
